asset,entry_date,side,entry_price,sl,tp,exit_date,status,pnl
BTCUSDT,2024-07-07,LONG,58204.1,49921.64925690868,62727.63432412176,2024-07-15,TP,109.23178330749506
BTCUSDT,2025-03-02,LONG,86024.4,72219.29131068701,94012.67825241732,2025-03-03,TP,116.9934380390019
BTCUSDT,2025-05-24,SHORT,107275.9,116543.10802524621,101175.75596633839,2025-06-05,TP,134.62835106524824
BTCUSDT,2025-07-16,SHORT,117745.7,127608.93269609439,111933.7897385408,2025-08-03,TP,122.10266765544382
ETHUSDT,2023-08-24,LONG,1678.68,1491.6631036232568,1791.5158618356577,2023-10-23,TP,120.6691630774913
ETHUSDT,2024-01-13,SHORT,2524.0,2883.0006170112633,2269.612510651649,2024-01-23,TP,143.4299272438179
ETHUSDT,2024-11-14,SHORT,3189.16,3680.772370629554,2881.090172493927,2024-11-27,SL,-205.2819818064262
ETHUSDT,2025-04-10,LONG,1669.16,1241.1951943495606,1939.3664075339193,2025-05-08,TP,127.01777337983027
ETHUSDT,2025-08-15,SHORT,4545.77,5105.384555695342,4119.1639257395445,2025-08-19,TP,155.29757000802368
ETHUSDT,2025-08-16,SHORT,4437.01,5127.763873145675,3991.951502472434,2025-09-25,TP,133.2575625184161
SOLUSDT,2023-10-05,SHORT,23.109,26.638451460473416,20.704398052702114,2023-10-20,SL,-200.0
SOLUSDT,2024-10-26,SHORT,164.79,191.32263712574158,148.67981716567792,2024-11-07,SL,-196.0
SOLUSDT,2025-07-24,SHORT,189.43,220.73429747032205,170.54427003957062,2025-07-30,TP,115.88092702729989
XRPUSDT,2024-03-06,SHORT,0.5916,0.7204405983205467,0.520479202239271,2024-03-11,SL,-200.0
XRPUSDT,2024-07-07,LONG,0.4486,0.34976495524254325,0.48931339300994237,2024-07-13,TP,80.73882143253296
XRPUSDT,2024-07-19,SHORT,0.5693,0.6851099985301191,0.5066200019598412,2024-08-05,TP,106.95530572891634
DOGEUSDT,2023-03-13,LONG,0.07049,0.05630016426585894,0.0796764476455214,2023-04-01,TP,129.47926695752517
DOGEUSDT,2023-10-28,SHORT,0.06778,0.07957778371757135,0.06192962170990488,2023-11-11,SL,-202.58958533915055
DOGEUSDT,2024-06-26,LONG,0.12612,0.10060065580396017,0.1430924589280531,2024-07-05,SL,-198.5377936323675
DOGEUSDT,2024-07-07,LONG,0.11334,0.07878422133885016,0.13006770488153313,2024-07-20,TP,94.18569378029504
DOGEUSDT,2025-06-24,LONG,0.16368,0.12439046221366053,0.18801271704845263,2025-07-10,TP,121.66548202967782
AVAXUSDT,2023-04-20,SHORT,18.98,23.03002128234574,17.059971623539013,2023-04-21,TP,94.81571787439707
AVAXUSDT,2024-03-20,SHORT,53.635,74.23980432531357,41.89526089958191,2024-04-12,TP,115.03191287194286
AVAXUSDT,2024-06-26,LONG,25.38,20.2871008940718,29.6305321412376,2024-07-01,TP,170.42271841242996
AVAXUSDT,2025-06-24,LONG,18.053,13.59481901196961,20.722574650707188,2025-07-10,TP,124.31485696072772
AVAXUSDT,2025-07-24,SHORT,23.95,28.254969074304825,21.0847079009269,2025-08-01,TP,139.83238660080153
AVAXUSDT,2025-09-21,SHORT,33.159,38.73472083121261,29.26737222504985,2025-09-22,TP,148.58746485336263
LINKUSDT,2023-04-20,SHORT,7.752,9.396531887283091,6.960624150289214,2023-04-23,TP,96.24329644567817
LINKUSDT,2023-10-03,SHORT,7.463,8.827980603770978,6.717692528305362,2023-10-21,SL,-201.92486592891356
LINKUSDT,2025-07-24,SHORT,18.176,21.60978997874424,16.02828002834101,2025-08-01,TP,123.77125817663337
LINKUSDT,2025-08-12,SHORT,21.06,24.674470155863993,18.436706458848008,2025-08-13,SL,-200.361793773868
LINKUSDT,2025-08-15,SHORT,22.445,26.94924250453105,19.483343327291937,2025-08-22,SL,-196.35455789839062
LINKUSDT,2025-08-20,SHORT,23.55,29.448752230720174,19.930330359039772,2025-09-25,TP,118.07986370740556
